ResSecond,EffortFiscInd,EffortFisc,ReFiscHab,DGF,CodeINSEECom,NomCom,PopDGF,PopINSEE,AGE65,Sup,PotFisc,PotFiscHab,ProduitnetFB,ProduitnetTH,BasesnettesFB,BasesnettesTH,NombredelogementsTHdelacommune,Nombredelogementssociauxdelacommune,DGFHab
8424,"82,87029486","1,426679","394,3468692",11 328 289,35288,SAINT-MALO,56024,47528,"30,1",3658,"874,591961","1022,226349",18742518,15564586,71306173,75351110,32297,6651,"238,3497938"
6261,"110,9267778","1,065832","558,5450815",1 636 586,56240,SARZEAU,14318,8041,"39,1",6023,"875,500629","967,368278",4491261,3984000,20040747,31168764,9567,179,"203,5301579"
6081,"126,8179267","0,932276","574,4501255",832 740,56034,CARNAC,10462,4381,"35,8",3271,"1042,657714","1124,893519",2516666,2713892,16892620,25543251,7567,79,"190,0798904"
5418,"148,6073207","0,795582","378,8260077",1 688 715,56186,QUIBERON,10367,4937,"41,7",883,"899,45095","1064,519244",1870264,1671404,16209261,22182882,7812,268,"342,0528661"
5285,"80,71824804","1,464716","616,0972832",2 840 442,35093,DINARD,16020,10711,"40,8",784,"933,662172","1094,54563",6599018,6171088,20828127,31021486,10469,1011,"265,1892447"
4965,"120,2990546","0,982795","1152,255869",660 380,56005,ARZON,7095,2130,"48,9",893,"1101,058351","1192,42988",2454305,1624437,11728585,17492416,5395,103,"310,0375587"
3538,"86,86088908","1,361134","471,363769",1 387 903,22282,SAINT-CAST-LE-GUILDO,6966,3428,"44,3",2263,"743,229974","846,795004",1615835,2165079,7912516,12160530,4868,52,"404,8725204"
2998,"76,6943892","1,541564","309,1624914",52 304 292,35238,RENNES,225358,222104,"14,3",5039,"934,314855","1101,078892",68666226,77881602,264101094,326763692,112558,29589,"235,4945971"
2905,"130,5227225","0,905814","621,6529548",622 407,56052,DAMGAN,4631,1726,"47,4",1016,"898,864608","998,58929",1072973,938538,6790292,11212505,3734,24,"360,6066049"
2872,"110,4796069","1,070146","283,4530024",1 603 822,29042,CROZON,10669,7777,"31,9",8037,"747,29656","864,078452",2204414,2920862,13395306,18076175,6144,326,"206,2263083"
2839,"91,99092254","1,285228","361,2228041",1 413 730,22186,PLENEUF-VAL-ANDRE,7040,4201,"37,9",1707,"797,756676","924,141903",1517497,2061069,7438683,11892069,4746,98,"336,5222566"
